prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
47,AuCd,2,4,oP4,B19B19B19,AB_oP4_51_e_f,PmmaPmmaPmma,51,β′β′\beta'–AuCd (B19) Structure
48,MoNi4,2,5,tI10,D1aD1aD1_{a},AB4_tI10_87_a_h,I4/mI4/mI4/m,87,Ni4Mo (D1a) Structure
49,"Al,Mg32(Zn)49",3,81,cI162,D8eD8eD8_{e},AB32C48_cI162_204_a_2efg_2gh,Imˉ3Im3¯Im\bar{3},204,"Bergman [Mg32(Al,Zn)49] Structure"
50,BaPtSb,3,3,hP3,,ABC_hP3_187_a_d_f,Pˉ6m2P6¯m2P\bar{6}m2,187,BaPtSb Structure
51,CoU,2,8,cI16,BaBaB_{a},AB_cI16_199_a_a,I213I213I2_{1}3,199,CoU (Ba) Structure
52,Al3Ni2,2,5,hP5,D513D513D5_{13},A3B2_hP5_164_ad_d,Pˉ3m1P3¯m1P\bar{3}m1,164,Al3Ni2 (D513) Structure
53,Cu2FeS4Sn,4,8,tI16,H26H26H2_{6},A2BC4D_tI16_121_d_a_i_b,Iˉ42mI4¯2mI\bar{4}2m,121,"Stannite (Cu2FeS4Sn, H26) Structure"
54,alpha-Pa,1,1,tI2,AaAaA_{a},A_tI2_139_a,I4/mmmI4/mmmI4/mmm,139,αα\alpha–Pa (Aa) Structure
55,BN,2,4,hP4,B12B12B12,AB_hP4_186_b_a,P63mcP63mcP6_{3}mc,186,Original BN (B12) Structure
56,MnP,2,8,oP8,B31B31B31,AB_oP8_62_c_c,PnmaPnmaPnma,62,MnP (B31) Structure
57,CrFe4Ni3,3,8,cI16,,AB4C3_cI16_229_a_c_b,Imˉ3mIm3¯mIm\bar{3}m,229,Model of Ferrite Structure (cI16)
58,As3Co,2,16,cI32,D02D02D0_{2},A3B_cI32_204_g_c,Imˉ3Im3¯Im\bar{3},204,"Skutterudite (CoAs3, D02) Structure"
