,id,wyckoff_sites,lattice_params,basis_params,lattice_params_value,basis_params_value,pearson_symbol,space_group,prototype
386,oP108-Al6Ca4O16S-27,"['abcdeeee', 'eeee', 'eeeeeeeeeeeeeeee', 'e']","['a', 'b/a', 'c/a']","['z1', 'z2', 'z3', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11', 'x12', 'y12', 'z12', 'x13', 'y13', 'z13', 'x14', 'y14', 'z14', 'x15', 'y15', 'z15', 'x16', 'y16', 'z16', 'x17', 'y17', 'z17', 'x18', 'y18', 'z18', 'x19', 'y19', 'z19', 'x20', 'y20', 'z20', 'x21', 'y21', 'z21', 'x22', 'y22', 'z22', 'x23', 'y23', 'z23', 'x24', 'y24', 'z24', 'x25', 'y25', 'z25', 'x26', 'y26', 'z26', 'x27', 'y27', 'z27', 'x28', 'y28', 'z28', 'x29', 'y29', 'z29']","[13.0409854622, 0.999877309088, 0.703110981603]","[0.0, 0.005, 0.03, 0.05, 0.373, 0.379, 0.296, 0.122, 0.125, 0.249, 0.369, 0.129, 0.28, 0.122, 0.376, 0.26, 0.058, 0.751, 0.449, 0.237, 0.574, 0.086, 0.257, 0.012, 0.554, 0.483, 0.247, 0.028, 0.729, 0.183, 0.412, 0.162, 0.684, 0.26, 0.23, 0.164, 0.679, 0.651, 0.299, 0.6217, 0.4, 0.254, 0.238, 0.433, 0.091, 0.44, 0.445, 0.395, 0.455, 0.245, 0.09, 0.304, 0.404, 0.057, 0.126, 0.093, 0.054, 0.102, 0.243, 0.402, 0.336, 0.099, 0.466, 0.124, 0.392, 0.467, 0.154, 0.103, 0.253, 0.191, 0.047, 0.385, 0.425, 0.052, 0.111, 0.41, 0.74634, 0.2513, 0.28218]",oP108,27,Al6Ca4O16S
387,tP16-AgF6U-132,"['d', 'io', 'a']","['a', 'c/a']","['x3', 'x4', 'z4']","[5.4229923801, 1.46597824081]","[0.3, 0.2, 0.333]",tP16,132,AgF6U
388,hP5-La2O3-164,"['d', 'ad']","['a', 'c/a']","['z2', 'z3']","[3.9381, 1.55813717275]","[0.2467, 0.647]",hP5,164,La2O3
389,hP9-S-154,['bc'],"['a', 'c/a']","['x1', 'x2', 'y2', 'z2']","[6.9082, 0.616557134999]","[0.876, 0.23, 0.534, 0.051]",hP9,154,S
390,tP12-CoNb4Si-124,"['a', 'm', 'c']","['a', 'c/a']","['x3', 'y3']","[6.1884808485, 0.816448537725]","[0.162, 0.662]",tP12,124,CoNb4Si
391,hP9-O2Si-181,"['j', 'c']","['a', 'c/a']",['x2'],"[4.9977, 1.09252256038]",[0.2072],hP9,181,O2Si
392,tP40-P2Zn3-137,"['cdf', 'ggg']","['a', 'c/a']","['z1', 'z2', 'x3', 'y4', 'z4', 'y5', 'z5', 'y6', 'z6']","[8.097, 1.41410398913]","[0.0, 0.011, 0.511, 0.533, 0.147, 0.467, 0.864, 0.5, 0.603]",tP40,137,P2Zn3
393,hP24-OTi3-149,"['acgi', 'lll']","['a', 'c/a']","['z3', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']","[5.1418156677, 2.78268310709]","[0.33333, 0.33333, 0.0, 0.33333, 0.421, 0.33333, 0.33333, 0.246, 0.0, 0.33333, 0.088]",hP24,149,OTi3
394,hP39-H2O6][O]4S2Sr[-171,"['ccccc', 'c', 'a']","['a', 'c/a']","['z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']","[6.3199906634, 3.05221518986]","[0.0, -0.004, 0.253, 0.23633, 0.015, 0.248, 0.11034, 0.681, 0.192, 0.16733, 0.448, 0.188, 0.29533, 0.449, 0.25, 0.048, 0.373, 0.065, 0.50467]",hP39,171,H2O6][O]4S2Sr[
395,tP48-H2S-77,"['dddddddd', 'dddd']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11', 'x12', 'y12', 'z12']","[13.47, 0.304380103935]","[0.193, 0.14, 0.163, 0.091, 0.059, 0.837, 0.693, 0.14, 0.163, 0.591, 0.059, 0.837, 0.193, 0.64, 0.163, 0.193, 0.64, 0.837, 0.693, 0.64, 0.837, 0.591, 0.559, 0.163, 0.11, 0.14, 0.0, 0.61, 0.14, 0.0, 0.11, 0.64, 0.0, 0.61, 0.64, 0.0]",tP48,77,H2S
